,발화문,상황,1번 감정,1번 감정세기,2번 감정,2번 감정세기,3번 감정,3번 감정세기,4번 감정,4번감정세기,5번 감정,5번 감정세기,나이,성별
10132,완전 마음에 들지. 공짠데!,happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,2,27,male
10133,아무튼 너무너무 힘들어.,angry,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,35,female
10134,곰팡이 제거제를 한 번 써볼까?,angry,neutral,0,angry,2,sadness,1,disgust,1,sadness,1,35,female
10135,곰팡이 제거제 생각 한 번 해볼게.,angry,neutral,0,angry,1,sadness,1,disgust,1,neutral,0,35,female
10136,쓰레기통에 역겨운 냄새가 나고 있어.,disgust,fear,1,disgust,2,disgust,1,disgust,1,disgust,1,35,female
10137,어. 뭔가가 썩고 있는 모양이야. 어떡하지?,disgust,fear,1,disgust,1,disgust,1,disgust,1,sadness,1,35,female
10138,있는게 좋을 거 같아 정말로.,disgust,neutral,0,happiness,1,sadness,1,disgust,1,sadness,1,35,female
10139,빨리 사와서 뿌려야지.,disgust,neutral,0,angry,1,sadness,1,disgust,1,sadness,1,35,female
10140,친구가 짜장면을 먹는데 벌레가 나와버렸어.,disgust,disgust,1,angry,2,disgust,1,disgust,2,disgust,1,35,female
10141,아니 그래야될 것 같아. 정말 급하다 급해.,disgust,neutral,0,angry,1,sadness,1,angry,1,sadness,1,35,female
10142,하면 좋겠다. 빨리 빨리 연락 줬으면 좋겠어.,disgust,fear,1,angry,2,sadness,1,angry,1,sadness,2,35,female
10143,아 짜증나. 그 새끼는 일없으면 집에나 갈 것이지 도대체 왜 이러는 거야.,angry,disgust,2,angry,2,angry,2,angry,1,angry,2,35,female
10144,욕할 수도 있지. 너무 짜증나서 그러니까!,angry,angry,2,angry,2,angry,2,angry,1,angry,2,35,female
10145,드디어 완전히 끝났어! 너무 신난다!,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,35,female
10146,그럼 그렇게 해볼까?,happiness,neutral,0,happiness,2,happiness,1,happiness,1,neutral,0,35,female
10147,"그건 잘 모르겠고, 아무튼 몰려있더라.",neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,35,female
10148,너무 우울해. 어떡하면 좋을까?,sadness,sadness,2,sadness,2,sadness,2,sadness,1,sadness,2,35,female
10149,너무 좋은 생각인데? 그럼 그렇게 한번 해볼까?,sadness,neutral,0,sadness,1,happiness,1,happiness,1,neutral,0,35,female
10150,나 지금 집에 갇힌 것 같아. 아무래도.,fear,fear,1,fear,2,sadness,1,fear,1,sadness,1,35,female
10151,아까 짭새가 몰려있어서 구경 다녀왔어.,neutral,neutral,0,fear,1,surprise,1,neutral,0,neutral,0,35,female
10152,많이 나아졌어 정말. 고마워.,neutral,happiness,1,happiness,1,sadness,1,neutral,0,neutral,0,35,female
10153,그런 것 같기도 하고 잘 모르겠더라.,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,35,female
10155,딱 한 명 뽑는 거였어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,neutral,0,35,female
10156,별 일은 없었는데 진짜 너무 놀랬어!,surprise,surprise,1,surprise,2,surprise,1,disgust,1,sadness,1,35,female
10157,아무 일도 없었고 너무너무 다행이었어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,neutral,0,35,female
10158,나 축하해줘. 너무너무 기분 좋은 일이 있어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,neutral,0,35,female
10160,톡방 지인이 권유해서 시작하게 되었어.,sadness,neutral,0,neutral,0,sadness,1,sadness,1,sadness,1,35,female
10161,아주 폭락을 해버렸지.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,1,35,female
10162,확인하지 아무튼 고마워.,sadness,happiness,1,sadness,1,sadness,1,sadness,1,sadness,1,35,female
10164,"아우. 미안하다고 사과하느라고 식은땀 났다, 진짜.",surprise,neutral,0,surprise,1,sadness,2,disgust,1,sadness,2,27,male
10165,그래도 지금은 진정 좀 된 거 같애.,surprise,neutral,0,surprise,1,sadness,2,neutral,0,sadness,1,27,male
10167,나 마라톤 하잖아. 이번에 기록을 갱신했어!,happiness,happiness,2,happiness,2,happiness,2,happiness,2,happiness,2,27,male
10168,다 그 맛에 하는 거지. 완전 기분 째지거든.,happiness,happiness,2,happiness,2,happiness,2,happiness,1,happiness,2,27,male
10169,여자친구랑 같이 뛰었어.,happiness,neutral,0,happiness,2,happiness,2,happiness,1,happiness,1,27,male
10170,아 짜장면에서 벌레가 나왔어! ,disgust,disgust,2,angry,2,disgust,1,disgust,2,disgust,2,46,female
10171,벌레가 나온 짜장면을 보는 순간 너무 더러워서 먹을 수가 없었어.,disgust,disgust,2,angry,2,disgust,1,disgust,2,disgust,2,46,female
10172,너의 말대로 지금 당장 사진을 찍어야겠어.,disgust,disgust,2,angry,1,sadness,1,disgust,1,disgust,2,46,female
10173,사진을 메세지로 첨부해서 짜장면에서 벌레가 나왔다고 항의해야겠어.,disgust,disgust,2,angry,2,disgust,1,angry,1,sadness,2,46,female
10174,벌레가 나온 사진을 찍어놨으니까 증거는 확실하잖아. 조치를 취해주겠지?,disgust,neutral,0,angry,2,sadness,1,angry,1,sadness,1,46,female
10175,오늘 최종 발표를 마쳤으니까 이제 완전히 끝난 거야.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10176,프로젝트가 다 끝났으니까 마음이 홀가분해졌어. 신나는 음악을 듣는 것도 좋을 것 같아.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
10177,프로젝트를 진행하느라고 한동안 친구들을 못 만났는데 친구들을 만날 계획을 잡아봐야겠어.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10178,그래. 너의 말대로 오랜만에 여행을 다녀오는 것도 좋을 것 같다. 여행 계획 잡아볼게.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10180,재택근무를 시작하면서 집 안에만 있으니까 몸이 계속 처지고 기운도 없어.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10181,기분이 좋아질만 한 음악을 들으면 내 마음도 나아지겠지?,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,2,46,female
10182,나를 위해서 노래와 영화까지 찾아줬으니까 내가 그거 보고 듣고 마음 잡아볼게.,sadness,neutral,0,happiness,1,sadness,1,sadness,1,happiness,1,46,female
10184,내가 집안에 갇히게 되었어.,fear,sadness,2,fear,2,sadness,1,fear,1,fear,2,46,female
10185,장마 때문에 비가 많이 오면서 우리 동네가 고립됐어. 그래서 집안에 갇히게 됐어.,fear,sadness,2,fear,2,sadness,1,fear,1,sadness,2,46,female
10186,집 안에 나 혼자 갇히게 되니까 너무 무섭고 두려워.,fear,fear,2,sadness,2,fear,1,fear,1,fear,2,46,female
10188,내가 좋아하는 인플루언서가 진행하는 이벤트에 내가 당첨됐어.,happiness,happiness,2,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10189,당첨자는 한 명 뽑는 거였는데 내가 당첨됐어. 운이 좋지?,happiness,happiness,2,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10190,그래 네가 그렇게 보고 싶다면 나중에 내가 보여 줄게.,happiness,neutral,0,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10191,아니야! 샤워하고 맨날 창문도 잘 열어논다고!,angry,disgust,2,angry,2,angry,2,disgust,1,angry,2,27,male
10192,락스를 사서 벽을 빡빡 닦아야 되나 봐요!,angry,disgust,2,angry,2,angry,2,disgust,1,angry,2,27,male
10193,벌써 해봤죠. 왜 안 해봤겠어요! 곰팡이 제거제가 소용이 없어요.,angry,disgust,2,angry,2,angry,2,disgust,1,angry,2,27,male
10194,그럼 좋은 걸로 하나 사주세요.,angry,neutral,0,angry,1,sadness,2,neutral,0,neutral,0,27,male
10195,와. 짜장면에서 벌레가 나왔다.,disgust,disgust,2,angry,2,disgust,1,disgust,1,disgust,2,46,female
10198,그래야 할 것 같아. 먹지도 못하고. 너무 속상해.,disgust,sadness,2,sadness,2,sadness,1,angry,1,sadness,2,46,female
10199,해피가 갑자기 목줄이 끊어지면서 막 달려나갔어.,surprise,neutral,0,surprise,2,sadness,1,neutral,0,surprise,1,46,female
10200,"그러니까. 보상을 받아야겠어. 먹지도 못하고, 기분만 나빠.",disgust,disgust,2,angry,2,angry,1,angry,1,angry,2,46,female
10201,아까는 해피 때문에 엄청 놀랐는데 집에 와서 쉬고 났더니 마음이 진정됐어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,sadness,1,46,female
10203,끝났어. 너무 기분이 좋아. 날아갈 것 같아.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
10204,그래. 음악을 좀 들으면서 편하게 휴식을 좀 취해야겠어.,happiness,neutral,0,happiness,2,sadness,1,happiness,1,happiness,1,46,female
10205,친구도 만나야지. 너무 보고싶어. 오늘은 좀 쉬고 내일 꼭 만나야지!,happiness,neutral,0,happiness,2,sadness,1,happiness,1,happiness,1,46,female
10206,내가 10km 마라톤 대회에 출전했는데 예전의 내 기록을 훨씬 갱신했어!,happiness,happiness,2,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10207,달리는 운동을 너무나 좋아해서 매번 연습해서 마라톤 대회에 나가고 있어.,happiness,happiness,2,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10208,그럼! 함께 달리는 크루가 있어서 나한테 큰 힘이 되어주고 있어.,happiness,happiness,2,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10212,코로나가 너무 힘들게 해. 집에서 할 수 있는 것도 없고 너무 답답해.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10213,주식이 계속 떨어지고 있어서 손해를 보고 있어. 너무 속상해.,sadness,sadness,2,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10214,주식이 계속 떨어져서 걱정하고 있었는데 너의 말대로 조금 기다려 봐야겠어.,sadness,neutral,0,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10215,좋은 생각이야. 너가 좀 재밌는 거 나도 보고싶어.,sadness,neutral,0,sadness,1,happiness,1,sadness,1,neutral,0,46,female
10216,집에 갇혀있어. 바깥을 보니까 물이 너무 많이 차있어.,fear,neutral,0,fear,2,fear,1,fear,1,fear,2,46,female
10218,지금 이 상황이 너무 무서워! 나가지도 못하고.,fear,fear,2,fear,2,sadness,1,fear,1,fear,2,46,female
10219,장마철이라서 습기가 많아지니까 곰팡이가 계속 생겨. 그래서 신경 쓰여!,angry,neutral,0,angry,2,sadness,1,disgust,1,sadness,2,46,female
10221,몸은 괜찮아. 집에 물이 들어온 건 아니니까.,fear,neutral,0,fear,2,sadness,1,fear,1,sadness,1,46,female
10222,곰팡이 제거제가 조금이라도 효과가 있다고 하니까 나 구매해볼래.,angry,neutral,0,angry,1,sadness,1,disgust,1,sadness,1,46,female
10226,맞아. 너의 말대로 냄새가 고약해서 얼른 버려야 해.,disgust,disgust,2,disgust,2,disgust,1,disgust,1,sadness,2,46,female
10228,냄새를 방향제로 처리하는 게 최선인 것 같아.,disgust,disgust,2,happiness,1,sadness,1,disgust,1,sadness,2,46,female
10229,에휴! 힘들어도 어쩌겠어. 집에 벌레가 생기는 것보단 낫잖아. 얼른 청소해야지.,disgust,sadness,2,angry,1,sadness,1,disgust,1,sadness,2,46,female
10232,다들 무서워서 도망가고 옆에 오질 않더라고.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,sadness,2,46,female
10233,아직도 진정이 안 돼. 얼마나 놀랬는지 무서웠어.,surprise,fear,2,surprise,2,sadness,1,fear,1,fear,1,46,female
10236,선수까진 아니고 그냥 열심히 운동을 좋아해서 해봤어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,neutral,0,46,female
10237,너무 좋지. 날라갈 거 같은 기분을 느꼈어. 너무 행복하다.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,46,female
10239,내일 비가 많이 온대? 나 사무실에 우산 있어 걱정하지마.,neutral,fear,1,happiness,1,sadness,1,neutral,0,sadness,1,46,female
10240,사무실에 항상 우산을 가지고 있으니까 비 와도 걱정 없어. 건강은 괜찮아.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,happiness,1,46,female
10242,내 앞에 구경하는 사람들이 너무 많아서 무슨 일인지 잘 볼 수가 없었어.,neutral,neutral,0,fear,1,sadness,1,sadness,1,sadness,1,46,female
10243,삼성 증권에 들었는데 자꾸 내려가고 있어!,sadness,fear,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10244,너무 많이 내려가서 손해를 이만저만이 아니야.,sadness,fear,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10245,그런 것 같아. 화장실에 창문도 없어. 답답해.,angry,disgust,1,angry,2,sadness,1,disgust,1,sadness,2,46,female
10246,맞아. 비가 오니까 더 슬퍼서 환장 하겠어!,angry,disgust,1,angry,2,sadness,1,disgust,1,angry,2,46,female
10247,그래. 꼭 좋은 걸로 추천해 줘. 아주 강력한 걸로.,angry,disgust,1,angry,1,sadness,1,disgust,1,angry,2,46,female
10249,그래 얼른 묶어서 쓰레기통에 버려야겠어!,disgust,disgust,1,disgust,2,sadness,1,disgust,1,sadness,1,46,female
10250,어쩔 수 없지. 내 실수로 그런 거니까 깨끗이 치워야겠지?,disgust,disgust,1,disgust,2,sadness,1,disgust,1,sadness,1,46,female
10251,다른 직원들한테는 친절하게 하면서 나한테 자꾸 화를 내고 짜증을 내서 그래.,angry,angry,1,angry,2,angry,1,angry,1,angry,2,46,female
10253,누군가 싸우는지 말리고 있는 것 같아. 주위에 사람들도 많고. 시끄러워.,neutral,neutral,0,fear,1,sadness,1,disgust,1,sadness,1,46,female
10254,그래. 경찰이라고 할게. 구경 많이 못했어. 사람들이 많아서 볼 수가 없어.,neutral,neutral,0,fear,1,sadness,1,disgust,1,sadness,1,46,female
10255,"우산이 있는데 비 맞을 일은 없어. 건강도 괜찮아, 아직은.",neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,46,female
10256,"그런 것 같아. 시끄럽고, 사람도 많고 시끄럽고, 짜증이 날 정도야.",neutral,angry,1,angry,2,sadness,1,disgust,1,angry,1,46,female
10257,와. 짜장면에서 벌레가 나왔다!,disgust,disgust,1,angry,2,disgust,1,disgust,1,surprise,2,44,male
10258,정말 그래. 짜장면에서 벌레가 나왔어.,disgust,disgust,1,angry,2,disgust,1,disgust,1,surprise,2,44,male
10259,어 그래야 되겠어.,disgust,disgust,1,angry,1,sadness,1,disgust,1,neutral,0,44,male
10260,나 프로젝트 끝났다.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,44,male
10262,그러니까. 먹다가 토하는 줄 알았어.,disgust,disgust,1,disgust,2,disgust,2,disgust,2,disgust,2,48,female
10263,그렇잖아도 벌써 찍어놨지.,disgust,disgust,1,angry,2,sadness,2,disgust,2,sadness,1,48,female
10264,정말 그래야될 것 같지. 다시는 이러지 못하게.,disgust,disgust,1,angry,2,angry,2,angry,1,sadness,2,48,female
10265,알았어. 내가 가서 한번 해볼게.,disgust,neutral,0,angry,2,sadness,2,angry,1,sadness,1,48,female
10267,당연히 끝났지. 한 달 간 얼마나 고생했는데.,happiness,happiness,1,happiness,2,sadness,2,happiness,1,neutral,0,48,female
10269,나 친구들이랑 약속 벌써 했어.,happiness,neutral,0,happiness,1,sadness,1,happiness,1,sadness,2,48,female
10271,어. 그거 좋은데?,happiness,happiness,1,happiness,1,happiness,1,happiness,1,happiness,1,44,male
10272,맞아. 밖에 나가서 활동해야 하는데 그러지 못하니까 미치겠어.,sadness,sadness,1,sadness,2,sadness,2,sadness,1,sadness,2,48,female
10273,기분이 좋아질 만한 음악 들으면 내 스트레스도 풀릴까?,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,48,female
10274,그래. 영화까지 찾아주면 정말 즐겁겠다.,sadness,happiness,1,happiness,1,sadness,1,sadness,1,sadness,2,48,female
10276,자는 동안에 그렇게 비가 많이 올 줄 몰랐지. 대피 문자도 못 보고그냥 잤어.,fear,fear,1,fear,2,sadness,2,fear,1,sadness,2,48,female
10277,무섭지. 왜 안 무서워.,fear,fear,1,fear,2,sadness,2,fear,1,sadness,2,48,female
10278,그래도 다행인게 몸은 또 괜찮아.,fear,neutral,0,fear,1,sadness,2,fear,1,sadness,2,48,female
10279,나 이벤트에 당첨되었어! ,happiness,happiness,1,happiness,2,happiness,1,happiness,1,sadness,1,48,female
10281,딱 한 명 뽑았어. 그게 내가 된 거지.,happiness,happiness,1,happiness,2,sadness,1,happiness,1,sadness,2,48,female
10282,선물은 당연히 맘에 들지. 아주 비싼 향수거든.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,sadness,2,48,female
10283,알았어. 선물 오거든 바로 보여줄게.,happiness,happiness,1,happiness,2,sadness,1,happiness,1,sadness,2,48,female
10284,"아니, 아까 산책하다 정말 깜짝 놀랐어.",surprise,surprise,1,surprise,2,surprise,2,neutral,0,sadness,2,48,female
10286,아까 간식 줬더니 금방 진정 되더라.,surprise,surprise,1,surprise,1,sadness,2,neutral,0,sadness,2,48,female
10287,나 축하해줘! 아주 기분 좋은 일이 있었어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,sadness,2,48,female
10288,그냥 이번에 마라톤 대회에서 내가 좋은 기록을 세웠어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,sadness,2,48,female
10289,일반인들 중에서 잘한 거지.,happiness,happiness,1,happiness,2,sadness,1,happiness,1,neutral,0,48,female
10292,이번에 상장한 빅힌트 엔터테이먼트 주식이야.,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,1,48,female
10293,생각했던 것보다 많이 오르지도 않아.,sadness,neutral,0,sadness,2,sadness,2,sadness,1,sadness,1,48,female
10294,어짜피 팔기도 힘들어. 팔면 손해거든.,sadness,fear,1,sadness,1,sadness,2,sadness,1,sadness,2,48,female
10296,맞아. 환기가 문제였어.,angry,disgust,1,angry,2,sadness,2,disgust,1,sadness,2,48,female
10297,그래서 그런가 하루종일 화장실만 닦는 기분이야.,angry,disgust,1,angry,2,sadness,2,disgust,1,sadness,2,48,female
10298,그렇게 좋다면 구매해야지.,angry,neutral,0,angry,1,sadness,1,neutral,0,neutral,0,48,female
10300,그렇잖아도 바로 버렸어.,disgust,disgust,1,disgust,1,sadness,2,disgust,1,sadness,2,48,female
10301,"알았어, 힘낼게. 하지만 내 잘못인걸, 뭐.",disgust,disgust,1,angry,1,sadness,2,disgust,1,sadness,2,48,female
10302,음악 좀 추천해줄래?,sadness,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,44,male
10303,그 새끼가 어떤 놈인데. 회사에서도 나한테만 지랄이야.,angry,angry,1,angry,2,angry,2,angry,1,angry,2,48,female
10304,나 지금 음악 들을 기분 아니다. 너나 들어라.,angry,angry,1,angry,1,angry,2,angry,1,angry,2,48,female
10305,나 오늘 우리 동네 짭새가 몰려 와서 정말 깜짝 놀랐어!,neutral,neutral,0,fear,1,surprise,2,neutral,0,sadness,2,48,female
10306,그러니까 궁금해서 봤더니 바리케이트를 치고 있더라고.,neutral,neutral,0,fear,1,sadness,2,disgust,1,sadness,2,48,female
10307,근처도 못 가보고 쫓겨났어!,neutral,neutral,0,fear,1,sadness,2,disgust,1,sadness,2,48,female
10308,나 오늘 짭새가 몰려와서 정말 깜짝 놀랐잖아.,neutral,surprise,1,surprise,2,surprise,1,disgust,1,sadness,2,48,female
10310,오늘 짭새가 몰려와서 정말 깜짝 놀랐어.,neutral,surprise,1,surprise,2,surprise,1,neutral,0,sadness,2,48,female
10311,그러니까 궁금해서 쫓아갔다 왔어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,48,female
10312,가까이 가서 못 봤는데 그런 건 아닌 것 같앴는데.,neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,1,48,female
10313,네 아무튼 너무 너무 힘들다.,angry,disgust,1,sadness,1,sadness,1,sadness,1,sadness,2,35,female
10314,괜찮다면 써볼까?,angry,disgust,1,angry,1,sadness,1,sadness,1,neutral,0,35,female
10315,나가있으면 꼭 먼저 얘기할게. 정말 고마워!,angry,neutral,0,happiness,1,happiness,1,sadness,1,neutral,0,35,female
10316,통에서 역겨운 냄새가 나고 있어.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,disgust,1,35,female
10317,나도 잘 모르겠고 아무튼 뭐가 썩나봐.,disgust,disgust,1,disgust,2,disgust,1,disgust,1,neutral,0,35,female
10318,그래. 그렇게 하는 게 좋을 것 같다. 방향제 빨리 찾아와야겠어.,disgust,neutral,0,disgust,1,sadness,1,disgust,1,neutral,0,35,female
10319,할 수 없지 뭐. 너도 너무 고맙다.,disgust,neutral,0,happiness,1,happiness,1,disgust,1,neutral,0,35,female
10321,아 나도 너무 깜짝 놀랬어.,disgust,surprise,1,surprise,2,surprise,2,angry,1,surprise,2,35,female
10322,사진 한 번 찍어둬야겠네. 고마워.,disgust,neutral,0,angry,2,happiness,1,angry,1,neutral,0,35,female
10323,그랬으면 좋겠다. 빨리 끝나야 될텐데. ,disgust,neutral,0,angry,1,sadness,1,neutral,0,sadness,1,35,female
10324,갇혀 있으니까 무서워,fear,fear,1,fear,2,fear,1,fear,1,fear,1,44,male
10325,짜증나는 새끼 일 없으면 집에나 갈 것이지 정말!,angry,angry,1,angry,2,angry,1,angry,1,angry,2,35,female
10326,그렇지만 안들리잖아. 할 수 없지 뭐.,angry,neutral,0,angry,2,angry,1,angry,1,angry,1,35,female
10328,나 이벤트에 당첨 됐어!,happiness,happiness,1,happiness,2,happiness,1,happiness,1,neutral,0,44,male
10329,큰 이벤트 대회에 당첨됐어.,happiness,happiness,1,happiness,2,sadness,1,happiness,1,neutral,0,44,male
10331,사람들이 뭐하는지 말 모르겠더라.,neutral,neutral,0,fear,1,sadness,1,neutral,0,sadness,1,35,female
10332,너무너무 우울해. 코로나 때문에.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,35,female
10333,축축 처지는 게 너무 힘들어.,sadness,sadness,1,sadness,1,sadness,1,sadness,1,sadness,2,35,female
10334,집에 갇힌 것 같아. 비가 너무 많이 와.,fear,fear,1,fear,2,fear,1,fear,1,sadness,2,35,female
10335,응. 무슨 일이냐면 밖에 비가 너무 많이 와.,fear,fear,1,fear,2,sadness,1,fear,1,angry,2,35,female
10336,어 몸은 괜찮아 정말로 괜찮아.,fear,neutral,0,fear,1,sadness,1,fear,1,neutral,0,35,female
10337,많이 좋아졌고 이제 괜찮아.,neutral,neutral,0,happiness,1,sadness,1,neutral,0,neutral,0,35,female
10338,그건 잘 모르겠고 아무튼 구경만 다녀왔어.,neutral,neutral,0,fear,1,sadness,1,neutral,0,neutral,0,35,female
10339,딱 한명 뽑는 거였어.,happiness,happiness,1,happiness,2,sadness,1,happiness,1,happiness,1,35,female
10340,해줘. 기분 좋은 일이 있어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,35,female
10341,선수정돈 아니고 못하지 뭐.,happiness,neutral,0,happiness,2,sadness,1,happiness,1,neutral,0,35,female
10342,행복하고 기분도 좋았어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,1,35,female
10344,어떤 종목을 들고 있냐면 코로나 주식.,sadness,neutral,0,happiness,1,sadness,1,sadness,1,neutral,0,35,female
10347,사람들도 놀래고 나도 놀랬어.,surprise,surprise,1,surprise,2,sadness,1,sadness,1,neutral,0,44,male
10348,아후. 짜장면에서 벌레가 나왔어.,disgust,disgust,1,angry,2,disgust,1,disgust,2,disgust,2,46,female
10349,짜장면에서 벌레가 나오니까 더럽고 지저분해서 못 먹겠어.,disgust,disgust,1,angry,2,disgust,1,disgust,2,disgust,2,46,female
10350,아무래도 너의 말대로 그렇게 하는 게 나을 것 같아. 얼른 찍어야지.,disgust,disgust,1,angry,2,disgust,1,angry,1,disgust,2,46,female
10351,그래서 지금 바로 짜장면에서 벌레가 나왔다고 전화 할거야. 사진도 보내야지!,disgust,disgust,1,angry,2,sadness,1,angry,1,angry,1,46,female
10352,사진으로 증거가 확실하니까 아무 소리 못하고 조치를 취해 주겠지?,disgust,disgust,1,angry,2,sadness,1,angry,1,neutral,0,46,female
10354,이제 모든 게 끝났으니까 홀가분한 마음으로 음악 좀 들어야겠어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10355,프로젝트 때문에 못 만났던 친구들을 만나는 것도 좋을 것 같아.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10357,코로나로 인해서 재택근무를 시작하면서 마음이 울적해졌어.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10358,재택 근무를 시작하면서 집 안에만 있으니까 몸이 계속 쳐지고 기운도 없어.,sadness,sadness,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10359,음악을 들으면 기분이 좀 나아질 수 있을까?,sadness,neutral,0,sadness,1,sadness,1,sadness,1,sadness,2,46,female
10361,나 혼자 집안에 갇히게 되었어. 어떡해?,fear,fear,1,fear,2,sadness,1,fear,1,sadness,2,46,female
10362,비가 계속 내리고 나 혼자 집 안에 갇혀있으니까 너무 무섭고 두렵지.,fear,fear,1,fear,2,sadness,1,fear,1,fear,2,46,female
10365,당첨자는 한명이었는데 내가 운이 좋게 당첨됐어!,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10367,내가 받은 선물을 구경하고 싶어? 나중에 내가 꼭 보여 줄게.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10368,아니. 아까 해피 산책 시키다가 깜짝 놀랐어.,surprise,surprise,1,surprise,2,surprise,1,fear,1,surprise,2,46,female
10369,글쎄 갑자기 해피의 목줄이 끊어지면서 해피가 막 달려 나갔어!,surprise,surprise,1,surprise,2,surprise,1,fear,1,surprise,2,46,female
10370,내가 얼른 뛰어가서 달려가는 해피를 안고 왔기 때문에 다행히 아무 일도 없었어.,surprise,neutral,0,surprise,1,sadness,1,neutral,0,sadness,2,46,female
10371,해피가 갑자기 달려와서 주변 사람들이 놀라긴 했지만 다들 괜찮다고 했어.,surprise,neutral,0,surprise,2,sadness,1,sadness,1,sadness,1,46,female
10373,"내가 10km 마라톤 대회에 출전했는데, 이번에 예전 기록보다 훨씬 좋게 나왔어.",happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10374,"달리는 동안에는 엄청 힘들었는데, 결승선을 통과하는 순간 기분이 엄청 좋아졌어.",happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10375,그럼 나랑 함께 달리는 크루가 있어서 지치고 힘들 때 큰 힘이 되어주었어.,happiness,happiness,1,happiness,2,happiness,1,happiness,1,happiness,2,46,female
10377,주식을 추천해 준 지인이 항공사가 좋다고 해서 그걸 구입해서 가지고 있어.,sadness,fear,1,neutral,0,sadness,1,sadness,1,sadness,1,46,female
10378,에휴. 주식이 계속 떨어지고 있어서 손해를 보고 있어. 속상해.,sadness,fear,1,sadness,2,sadness,1,sadness,1,sadness,2,46,female
10379,시간을 가지고 지켜보다 보면 떨어진 주식이 오르겠지?,sadness,fear,1,sadness,2,sadness,1,sadness,1,sadness,1,46,female
10381,그래서 신경쓰고 청소를 하는데 곰팡이가 안 없어져.,angry,disgust,1,angry,2,sadness,1,disgust,1,sadness,2,46,female
10382,습기가 계속 생기니까 곰팡이가 나오고 있어서 너무나 신경 쓰여. 어떡하지?,angry,disgust,1,angry,2,sadness,1,disgust,1,sadness,2,46,female
10383,그래? 효과가 있어? 그러면 나 구매해볼래. 추천 좀 해줘.,angry,neutral,0,angry,1,sadness,1,disgust,1,sadness,1,46,female
